0,1.046386,1.93420024,3.43147777,4.05910852,5.41959486,7.23962915
0.0002,2.50240361,1.93412958,3.4313524,4.05896023,5.41939686,7.23936466
0.0004,3.41756009,1.93391762,3.43097636,4.05851541,5.41880296,7.2385713
0.0006,4.15132705,1.93356446,3.43034982,4.05777427,5.4178134,7.23724943
0.0008,4.2132842,1.93307025,3.42947304,4.05673712,5.41642864,7.23539963
0.001,3.67475739,1.93243521,3.42834641,4.05540443,5.41464927,7.23302271
0.0012,3.02404209,1.93165962,3.42697043,4.05377678,5.41247608,7.23011971
0.0014,2.69709084,1.93074382,3.4253457,4.05185488,5.40991002,7.2266919
0.0016,2.73747645,1.92968821,3.42347294,4.04963958,5.40695222,7.22274079
0.0018,2.85880628,1.92849325,3.42135295,4.04713183,5.40360396,7.21826811
0.002,2.77172582,1.92715946,3.41898667,4.04433275,5.39986671,7.2132758
0.0022,2.44889123,1.92568743,3.41637512,4.04124355,5.3957421,7.20776604
0.0024,2.11794543,1.92407779,3.41351945,4.03786556,5.39123192,7.20174123
0.0026,2.04763282,1.92233124,3.41042089,4.03420026,5.38633813,7.19520398
0.0028,2.34785633,1.92044854,3.40708078,4.03024923,5.38106283,7.18815711
0.003,2.91303932,1.9184305,3.40350055,4.02601417,5.37540831,7.18060366
0.0032,3.48216046,1.91627798,3.39968176,4.0214969,5.369377,7.17254689
0.0034,3.75848312,1.91399192,3.39562604,4.01669937,5.36297148,7.16399024
0.0036,3.55905077,1.91157327,3.39133511,4.01162361,5.35619449,7.15493736
0.0038,2.95663151,1.90902309,3.3868108,4.00627179,5.34904891,7.14539212
0.004,2.30906302,1.90634243,3.38205503,4.00064618,5.34153776,7.13535854
0.0042,2.07064115,1.90353244,3.37706981,3.99474914,5.33366423,7.12484088
0.0044,2.4619554,1.9005943,3.37185724,3.98858316,5.3254316,7.11384354
0.0046,3.25777608,1.89752923,3.36641948,3.98215082,5.31684334,7.10237112
0.0048,3.9192759,1.89433852,3.36075881,3.97545479,5.30790301,7.0904284
0.005,4.04250353,1.89102347,3.35487756,3.96849784,5.29861431,7.07802033
0.0052,3.71446195,1.88758546,3.34877817,3.96128284,5.28898107,7.06515201
0.0054,3.40475777,1.8840259,3.34246313,3.95381275,5.27900724,7.05182872
0.0056,3.46750678,1.88034624,3.335935,3.94609061,5.26869688,7.03805589
0.0058,3.74277949,1.87654796,3.32919645,3.93811955,5.25805417,7.02383908
0.006,3.68080089,1.87263259,3.32225017,3.92990277,5.24708338,7.00918404
0.0062,2.92671977,1.86860171,3.31509896,3.92144357,5.23578892,6.99409661
0.0064,1.8166736,1.86445691,3.30774564,3.9127453,5.22417526,6.9785828
0.0066,1.25858588,1.86019982,3.30019312,3.90381139,5.21224699,6.96264872
0.0068,2.04037383,1.85583213,3.29244436,3.89464536,5.20000878,6.94630062
0.007,4.20989374,1.85135552,3.28450238,3.88525076,5.18746541,6.92954487
0.0072,6.95262042,1.84677173,3.27637024,3.87563122,5.17462171,6.91238794
0.0074,9.14658853,1.84208251,3.26805107,3.86579044,5.1614826,6.89483639
0.0076,10.0863159,1.83728965,3.25954803,3.85573216,5.14805309,6.87689693
0.0078,9.82192156,1.83239496,3.25086432,3.84546016,5.13433825,6.8585763
0.008,8.96358534,1.82740026,3.2420032,3.83497831,5.1203432,6.83988136
