0,3.23,0.03
1,3.23,0.04
2,3.18,0.03
3,3.29,0.03
4,3.3,0.03
5,3.26,0.03
6,3.33,0.04
7,3.37,0.04
8,3.42,0.03
9,3.38,0.04
10,3.52,0.04
11,3.6,0.04
12,3.92,0.05
13,4.06,0.04
14,4.28,0.03
15,4.49,0.04
16,4.75,0.03
17,4.88,0.04
18,5.02,0.03
19,4.96,0.03
20,4.99,0.04
21,4.91,0.03
22,4.88,0.03
23,4.86,0.03
24,4.81,0.04
25,4.82,0.02
26,4.67,0.04
27,4.75,0.04
28,4.75,0.03
29,4.73,0.03
30,4.62,0.04
31,4.62,0.03
32,4.6,0.03
33,4.58,0.03
34,4.59,0.03
35,4.54,0.02
36,4.45,0.03
37,4.46,0.03
38,4.41,0.03
39,4.55,0.03
40,4.55,0.03
41,4.51,0.05
42,4.5,0.03
43,4.46,0.04
44,4.48,0.03
45,4.33,0.04
46,4.36,0.05
47,4.38,0.04
48,4.45,0.04
49,4.46,0.03
50,4.34,0.04
51,4.33,0.05
52,4.31,0.04
53,4.44,0.03
54,4.38,0.04
55,4.31,0.03
56,4.35,0.04
57,4.43,0.04
58,4.49,0.06
59,4.43,0.04
60,4.6,0.04
61,4.51,0.05
62,4.6,0.04
63,4.53,0.04
64,4.36,0.06
65,4.48,0.05
66,4.57,0.04
67,4.44,0.05
68,4.42,0.06
69,4.47,0.05
70,4.32,0.04
71,4.22,0.05
72,4.21,0.04
73,4.23,0.04
74,4.03,0.04
75,3.95,0.04
76,4.06,0.04
77,4.08,0.05
78,4.05,0.03
79,4.05,0.05
80,3.9,0.04
81,3.82,0.04
82,3.8,0.04
83,3.83,0.04
84,3.82,0.04
85,3.95,0.06
86,4.06,0.05
87,4.18,0.05
88,4.11,0.05
89,4.08,0.04
90,4.06,0.05
91,4.03,0.04
92,3.98,0.04
93,3.9,0.03
94,3.84,0.04
95,3.77,0.05
96,3.75,0.03
97,3.83,0.04
98,3.9,0.04
99,3.78,0.06
100,3.81,0.06
101,3.92,0.05
102,3.86,0.05
103,3.88,0.04
104,3.92,0.05
105,3.85,0.06
106,4,0.04
107,4.04,0.05
108,4.11,0.04
109,4.12,0.05
110,4.04,0.05
111,4.02,0.05
112,4.03,0.04
113,3.93,0.05
114,3.81,0.05
115,3.71,0.04
116,3.58,0.04
117,3.54,0.05
118,3.44,0.06
119,3.3,0.03
120,3.27,0.04
121,3.26,0.04
122,3.18,0.03
123,3.1,0.05
124,3.27,0.04
125,3.14,0.06
126,3.16,0.04
127,3.37,0.05
128,3.71,0.07
129,3.9,0.08
130,3.67,0.09
131,3.81,0.09
132,4.2,0.06
133,4.41,0.05
134,4.7,0.05
135,4.86,0.04
136,4.82,0.05
137,4.8,0.05
138,4.89,0.04
139,4.87,0.05
140,4.98,0.05
141,4.81,0.05
142,4.75,0.06
143,4.78,0.05
144,4.82,0.05
145,4.74,0.05
146,4.77,0.05
147,4.82,0.05
148,4.71,0.05
149,4.75,0.04
150,4.75,0.06
151,4.66,0.06
152,4.64,0.05
153,4.62,0.04
154,4.66,0.04
155,4.51,0.04
156,4.78,0.04
157,4.74,0.04
158,4.69,0.03
159,4.66,0.05
160,4.69,0.05
161,4.65,0.04
162,4.66,0.05
163,4.7,0.06
164,4.68,0.05
165,4.68,0.05
166,4.48,0.04
167,4.41,0.06
168,4.48,0.04
169,4.5,0.04
170,4.5,0.03
171,4.53,0.04
172,4.46,0.03
173,4.38,0.03
174,4.28,0.04
175,4.32,0.05
176,4.39,0.04
177,4.46,0.04
178,4.44,0.03
179,4.48,0.05
180,4.39,0.06
181,4.46,0.03
182,4.48,0.05
183,4.37,0.04
184,4.4,0.06
185,4.59,0.06
186,4.47,0.04
187,4.4,0.05
188,4.46,0.05
189,4.39,0.04
190,4.28,0.05
191,4.13,0.05
192,3.76,0.05
193,3.92,0.05
194,3.84,0.07
195,3.91,0.05
196,3.82,0.04
197,3.74,0.06
198,3.82,0.04
199,3.57,0.05
200,3.53,0.07
201,3.53,0.03
202,3.63,0.06
203,3.61,0.07
204,3.78,0.05
205,3.82,0.06
206,3.77,0.07
207,3.78,0.08
208,3.71,0.07
209,3.64,0.06
210,3.57,0.07
211,3.6,0.06
212,3.61,0.06
213,3.65,0.06
214,3.56,0.07
215,3.54,0.05
216,3.53,0.04
217,3.48,0.09
218,3.72,0.05
219,3.94,0.05
220,3.98,0.06
221,4.23,0.06
222,4.38,0.09
223,4.44,0.07
224,4.39,0.07
225,4.28,0.06
226,4.29,0.05
227,4.19,0.05
228,4.19,0.12
229,4.02,0.08
230,4.3,0.06
231,4.22,0.07
232,4.17,0.07
233,3.97,0.06
234,3.84,0.05
235,3.71,0.06
236,3.66,0.05
237,3.47,0.04
238,3.51,0.06
239,3.44,0.04
240,3.44,0.06
241,3.54,0.08
242,3.68,0.06
243,3.78,0.08
244,4.05,0.06
245,4.17,0.06
246,4.38,0.05
247,4.31,0.04
248,4.38,0.07
249,4.36,0.05
250,4.5,0.05
251,4.58,0.04
252,4.63,0.04
253,4.52,0.06
254,4.57,0.04
255,4.37,0.05
256,4.43,0.06
257,4.55,0.05
258,4.51,0.05
259,4.52,0.04
260,4.46,0.06
261,4.52,0.03
262,4.45,0.05
263,4.46,0.05
264,4.42,0.04
265,4.44,0.05
266,4.5,0.05
267,4.5,0.05
268,4.33,0.06
269,4.52,0.06
270,4.51,0.06
271,4.5,0.05
272,4.44,0.06
273,4.44,0.03
274,4.38,0.04
275,4.38,0.05
276,4.3,0.06
277,4.44,0.05
278,4.31,0.05
279,4.23,0.07
280,4.14,0.05
281,4.21,0.04
282,3.98,0.05
283,3.87,0.06
284,3.86,0.04
285,3.84,0.04
286,3.82,0.05
287,3.89,0.04
288,4.02,0.06
289,4.06,0.05
290,4.1,0.06
291,4.11,0.04
292,4.27,0.07
293,4.22,0.06
294,4.33,0.05
295,4.31,0.03
296,4.23,0.04
297,4.3,0.06
298,4.17,0.04
299,4.23,0.04
300,4.02,0.07
301,4.06,0.07
302,4.06,0.07
303,4,0.06
304,4.07,0.04
305,4.07,0.07
306,4.05,0.06
307,4,0.04
308,3.85,0.04
309,3.86,0.06
310,3.8,0.06
311,3.7,0.04
312,3.79,0.05
313,3.69,0.06
314,3.77,0.06
315,3.62,0.06
316,3.69,0.07
317,3.89,0.05
318,3.76,0.04
319,3.58,0.05
320,3.66,0.05
321,3.53,0.05
322,3.53,0.05
323,3.47,0.05
324,3.21,0.05
325,3.31,0.04
326,3.23,0.04
327,3.22,0.04
328,3.23,0.05
329,3.19,0.04
330,3.3,0.04
331,3.29,0.06
332,3.39,0.08
333,3.38,0.07
334,3.51,0.08
335,3.75,0.08
336,4.08,0.08
337,4.23,0.08
338,4.17,0.07
339,4.42,0.07
340,4.6,0.06
341,4.84,0.06
342,4.83,0.05
343,4.8,0.07
344,4.76,0.07
345,4.79,0.05
346,4.68,0.06
347,4.53,0.07
348,4.49,0.1
349,4.62,0.04
350,4.67,0.05
351,4.64,0.05
